level,metric,reference,method,n,ref_mean,method_mean,diff,t_p,w_p,note
job,delta_auroc,fedadaptproto,fedadapt,60,-0.0029197205354638727,-0.007207667953542004,0.004287947418078131,8.191892341340695e-12,1.1429726269354544e-09,
job,delta_auroc,fedadaptproto,fedavg,60,-0.0029197205354638727,-0.005586561639565821,0.0026668411041019476,2.2142081339082168e-07,1.6479499917836714e-06,
job,delta_auroc,fedadaptproto,fedprox,60,-0.0029197205354638727,-0.005609557992190912,0.0026898374567270408,1.2846758715800994e-07,1.6479499917836714e-06,
job,delta_auroc,fedadaptproto,scaffold,60,-0.0029197205354638727,-0.008672890091838751,0.005753169556374878,4.9062864748743005e-18,4.2240948823699894e-11,
site,delta_auroc,fedadaptproto,fedadapt,300,-0.002919720535463872,-0.007207667953542002,0.004287947418078131,8.167643394177051e-18,1.7048429767805495e-19,
site,delta_auroc,fedadaptproto,fedavg,300,-0.002919720535463872,-0.005586561639565821,0.0026668411041019485,1.0843747844328578e-09,4.1439135421259065e-11,
site,delta_auroc,fedadaptproto,fedprox,300,-0.002919720535463872,-0.005609557992190913,0.0026898374567270416,7.290180632766194e-09,3.8411121035576034e-10,
site,delta_auroc,fedadaptproto,scaffold,300,-0.002919720535463872,-0.00867289009183875,0.005753169556374878,4.6397461697909275e-26,8.783405726670744e-26,
