level,metric,reference,method,n,ref_mean,method_mean,diff,t_p,w_p,note
job,delta_auprc,fedadaptproto,fedadapt,60,-0.009858614480854637,-0.020422534451712267,0.010563919970857632,4.346225900137025e-12,1.4373720306251737e-09,
job,delta_auprc,fedadaptproto,fedavg,60,-0.009858614480854637,-0.02138160513174556,0.011522990650890918,7.692120044506587e-15,1.6602531558303982e-10,
job,delta_auprc,fedadaptproto,fedprox,60,-0.009858614480854637,-0.021438289436624118,0.011579674955769488,2.1648754390850197e-16,7.268062431730498e-11,
job,delta_auprc,fedadaptproto,scaffold,60,-0.009858614480854637,-0.02899757511759692,0.01913896063674229,2.302065678790007e-25,1.629555794311934e-11,
site,delta_auprc,fedadaptproto,fedadapt,300,-0.009858614480854634,-0.020422534451712267,0.010563919970857632,1.7829482750112411e-25,1.045419026161996e-22,
site,delta_auprc,fedadaptproto,fedavg,300,-0.009858614480854634,-0.021381605131745557,0.01152299065089092,3.385952509037844e-26,1.3526045639933559e-24,
site,delta_auprc,fedadaptproto,fedprox,300,-0.009858614480854634,-0.02143828943662412,0.011579674955769486,3.566499059617665e-26,9.587838368780507e-25,
site,delta_auprc,fedadaptproto,scaffold,300,-0.009858614480854634,-0.028997575117596916,0.019138960636742284,2.324580215778838e-43,1.5573000804388624e-37,
