cond,seed,config,method,job,site,fed_auroc,fed_auprc,own_gain,local_auroc,local_auprc,prevalence,best_epoch_mean,delta_auroc,delta_auprc
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_D,0.7481942675524652,0.2827903776943944,0.0502425810547734,0.761419,0.295618,0.0941,5.8,-0.013224732447534748,-0.01282762230560558
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_E,0.7908228050806906,0.3221869657811502,0.0426555939466787,0.750518,0.243088,0.071,9.6,0.040304805080690564,0.0790989657811502
10.0_0.5,456,A_gammA_S,fedavg,alpha10.0_gamma0.5_seed456/fedavg,site_A,0.7834583713930735,0.5122509545489417,0.0540071222008196,0.792298,0.519396,0.1902,8.6,-0.008839628606926442,-0.007145045451058318
10.0_0.5,456,A_gammA_S,fedavg,alpha10.0_gamma0.5_seed456/fedavg,site_B,0.7648928107545596,0.4600423023915153,0.0536769319757578,0.773608,0.479993,0.1693,8.0,-0.008715189245440347,-0.019950697608484724
10.0_0.5,456,A_gammA_S,fedavg,alpha10.0_gamma0.5_seed456/fedavg,site_C,0.7812661600569641,0.4789880912174873,0.0651008573792911,0.778541,0.5112,0.1742,5.6,0.0027251600569641043,-0.03221190878251268
10.0_0.5,456,A_gammA_S,fedavg,alpha10.0_gamma0.5_seed456/fedavg,site_D,0.7619884190975637,0.4180595357547625,0.0527895615801221,0.765263,0.445275,0.1647,5.8,-0.003274580902436375,-0.027215464245237464
10.0_0.5,456,A_gammA_S,fedavg,alpha10.0_gamma0.5_seed456/fedavg,site_E,0.7830005090951296,0.4914896274933983,0.0236963339875074,0.783092,0.488498,0.162,13.2,-9.14909048703727e-05,0.002991627493398319
10.0_0.5,456,A_gammA_S,fedprox,alpha10.0_gamma0.5_seed456/fedprox,site_A,0.7841079367681513,0.5119994094106448,0.0546566875758973,0.792298,0.519396,0.1902,8.6,-0.008190063231848677,-0.0073965905893551565
10.0_0.5,456,A_gammA_S,fedprox,alpha10.0_gamma0.5_seed456/fedprox,site_B,0.7654241089296826,0.4593746261949881,0.0542082301508808,0.773608,0.479993,0.1693,8.0,-0.008183891070317362,-0.020618373805011914
10.0_0.5,456,A_gammA_S,fedprox,alpha10.0_gamma0.5_seed456/fedprox,site_C,0.7809284478461225,0.4777050378645254,0.0647631451684495,0.778541,0.5112,0.1742,5.6,0.002387447846122437,-0.03349496213547459
10.0_0.5,456,A_gammA_S,fedprox,alpha10.0_gamma0.5_seed456/fedprox,site_D,0.7607416772018543,0.4197385080449252,0.0515428196844127,0.765263,0.445275,0.1647,5.8,-0.004521322798145766,-0.02553649195507479
10.0_0.5,456,A_gammA_S,fedprox,alpha10.0_gamma0.5_seed456/fedprox,site_E,0.7844717412636111,0.493197544526992,0.0251675661559889,0.783092,0.488498,0.162,13.2,0.0013797412636110673,0.0046995445269920055
10.0_0.5,456,A_gammA_S,fedadaptproto,alpha10.0_gamma0.5_seed456/fedadaptproto,site_A,0.7899040585765368,0.5339572424480636,0.0604528093842828,0.792298,0.519396,0.1902,8.6,-0.002393941423463164,0.014561242448063672
10.0_0.5,456,A_gammA_S,fedadaptproto,alpha10.0_gamma0.5_seed456/fedadaptproto,site_B,0.7674653784676406,0.4611206394041973,0.0562494996888388,0.773608,0.479993,0.1693,8.0,-0.006142621532359338,-0.018872360595802717
10.0_0.5,456,A_gammA_S,fedadaptproto,alpha10.0_gamma0.5_seed456/fedadaptproto,site_C,0.7825884523530905,0.4870319993340469,0.0664231496754175,0.778541,0.5112,0.1742,5.6,0.004047452353090453,-0.024168000665953093
10.0_0.5,456,A_gammA_S,fedadaptproto,alpha10.0_gamma0.5_seed456/fedadaptproto,site_D,0.7652391877760609,0.4384658065424806,0.0560403302586194,0.765263,0.445275,0.1647,5.8,-2.381222393910143e-05,-0.006809193457519402
10.0_0.5,456,A_gammA_S,fedadaptproto,alpha10.0_gamma0.5_seed456/fedadaptproto,site_E,0.7891333908373428,0.4857135026736399,0.0298292157297206,0.783092,0.488498,0.162,13.2,0.006041390837342786,-0.0027844973263601025
