level,metric,reference,method,n,ref_mean,method_mean,diff,t_p,w_p,note
job,delta_auroc,fedadaptproto,fedadapt,9,-0.006855934571920268,-0.008420578948024782,0.001564644376104515,0.387692130011835,0.49609375,
job,delta_auroc,fedadaptproto,fedavg,9,-0.006855934571920268,-0.013243896143237864,0.006387961571317594,0.001177597655156575,0.0078125,
job,delta_auroc,fedadaptproto,fedprox,9,-0.006855934571920268,-0.013196671972493058,0.006340737400572789,0.0009980857364863852,0.0078125,
job,delta_auroc,fedadaptproto,scaffold,9,-0.006855934571920268,-0.012169369254609354,0.0053134346826890855,0.0025752189832709198,0.0078125,
site,delta_auroc,fedadaptproto,fedadapt,54,-0.006855934571920269,-0.008420578948024783,0.0015646443761045145,0.4213382680953984,0.1778195377871742,
site,delta_auroc,fedadaptproto,fedavg,54,-0.006855934571920269,-0.013243896143237864,0.006387961571317595,8.593224281388941e-05,6.349086235355913e-05,
site,delta_auroc,fedadaptproto,fedprox,54,-0.006855934571920269,-0.01319667197249306,0.006340737400572789,0.0003504521216960384,7.339428939885824e-05,
site,delta_auroc,fedadaptproto,scaffold,54,-0.006855934571920269,-0.012169369254609354,0.005313434682689085,0.0006351740951863761,0.0001596353995023664,
