level,metric,reference,method,n,ref_mean,method_mean,diff,t_p,w_p,note
job,delta_auprc,fedadaptproto,fedadapt,9,-0.013881317169097141,-0.021328619748033482,0.007447302578936343,0.03410804364728185,0.0546875,
job,delta_auprc,fedadaptproto,fedavg,9,-0.013881317169097141,-0.01908381305118502,0.005202495882087881,0.12542121233942144,0.25,
job,delta_auprc,fedadaptproto,fedprox,9,-0.013881317169097141,-0.02043270043992623,0.006551383270829086,0.07008584574292669,0.0390625,
job,delta_auprc,fedadaptproto,scaffold,9,-0.013881317169097141,-0.017986239720135137,0.004104922551037998,0.18368953004603442,0.203125,
site,delta_auprc,fedadaptproto,fedadapt,54,-0.01388131716909714,-0.02132861974803349,0.007447302578936342,0.005038154406501751,0.007316532506410799,
site,delta_auprc,fedadaptproto,fedavg,54,-0.01388131716909714,-0.019083813051185023,0.005202495882087882,0.07854253677779095,0.08123424760431137,
site,delta_auprc,fedadaptproto,fedprox,54,-0.01388131716909714,-0.02043270043992623,0.006551383270829086,0.06473221353542875,0.08903352334784256,
site,delta_auprc,fedadaptproto,scaffold,54,-0.01388131716909714,-0.01798623972013514,0.004104922551037997,0.15301063892944575,0.11811033436870182,
